Date,"('CLOSE', 'USO')","('HIGH', 'USO')","('LOW', 'USO')","('OPEN', 'USO')","('VOLUME', 'USO')"
2023-02-13,69.500000,70.430000,69.070000,69.379997,3458200
2023-02-14,69.400002,69.629997,68.010002,68.220001,1601500
2023-02-15,69.019997,69.389999,67.800003,68.790001,1907600
2023-02-16,68.449997,69.389999,68.419998,68.820000,2369700
2023-02-17,67.019997,67.260002,66.010002,66.360001,3851700
2023-02-21,66.690002,67.820000,66.540001,67.500000,2432700
2023-02-22,64.919998,66.669998,64.889999,66.400002,3495600
2023-02-23,66.379997,66.650002,65.699997,66.220001,2136800
2023-02-24,67.099998,67.150002,65.110001,65.559998,2593400
2023-02-27,66.250000,66.760002,65.730003,66.629997,3024800
2023-02-28,67.209999,67.930000,67.160004,67.800003,1886400
2023-03-01,68.070000,68.120003,66.730003,67.139999,2577600
2023-03-02,68.300003,68.760002,67.889999,68.440002,1623900
2023-03-03,69.860001,69.910004,67.139999,67.190002,5179300
2023-03-06,70.489998,70.519997,69.050003,69.290001,3977800
2023-03-07,67.849998,70.220001,67.559998,70.139999,5071200
2023-03-08,67.099998,67.849998,66.779999,67.129997,3018100
2023-03-09,66.239998,68.389999,66.169998,67.900002,2436600
2023-03-10,67.139999,67.559998,66.199997,66.370003,2989500
2023-03-13,65.250000,66.820000,64.070000,64.510002,5203900
2023-03-14,62.930000,65.320000,62.340000,64.019997,6367400
2023-03-15,60.020000,60.970001,57.939999,60.259998,13746500
2023-03-16,60.049999,61.090000,58.040001,58.720001,8441800
2023-03-17,58.660000,60.020000,57.830002,59.939999,9071700
2023-03-20,59.790001,59.869999,58.049999,58.730000,5391600
2023-03-21,61.230000,61.320000,60.110001,60.540001,3975100
2023-03-22,61.610001,62.669998,60.919998,61.389999,3512800
2023-03-23,60.990002,63.020000,60.900002,62.509998,2635500
2023-03-24,60.959999,61.250000,59.840000,60.310001,3721100
2023-03-27,64.150002,64.269997,61.860001,62.240002,8701200
2023-03-28,64.550003,64.980003,63.759998,63.759998,4149500
2023-03-29,64.150002,65.349998,64.000000,65.010002,2593100
2023-03-30,65.320000,65.540001,64.190002,64.809998,3295100
2023-03-31,66.440002,66.500000,65.260002,65.919998,2730700
2023-04-03,70.269997,70.699997,69.629997,69.930000,8377900
2023-04-04,70.269997,71.129997,69.580002,71.129997,3592700
2023-04-05,70.239998,70.550003,69.680000,70.489998,3015000
2023-04-06,70.260002,70.489998,69.769997,70.349998,2839300
2023-04-10,69.760002,70.790001,69.620003,70.230003,2884600
2023-04-11,71.070000,71.209999,69.970001,70.080002,3346800
2023-04-12,72.430000,72.650002,71.610001,71.739998,4474100
2023-04-13,71.800003,72.629997,71.650002,72.360001,2790900
