lambda1,delta_lambda,q_stop,regime,reason,rs_value,date
1.584843367652411e-14,0.3826165214198749,0.01,Degenerate,gap,0.9895633540777573,2009-03-19
2.1316282072803006e-14,0.405929457530048,0.01,Degenerate,gap,0.9889309783234183,2009-03-20
3.879262901299415e-15,0.6172328270788671,0.01,Degenerate,gap,0.9832176616916513,2009-03-23
0.0,0.5605841696691234,0.01,Degenerate,gap,0.984746107601317,2009-03-24
0.0,0.5300205765129914,0.01,Degenerate,gap,0.9855717350367275,2009-03-25
2.842170943040401e-14,0.5620991810706253,0.01,Degenerate,gap,0.9847051999457865,2009-03-26
0.0,0.5539352996092154,0.01,Degenerate,gap,0.9849256574919831,2009-03-27
4.263256414560601e-14,0.5527927055712507,0.01,Degenerate,gap,0.9849565160511886,2009-03-30
7.105427357601002e-15,0.5169298748703571,0.01,Degenerate,gap,0.9859255714706219,2009-03-31
8.251128298127463e-15,0.5177744188890638,0.01,Degenerate,gap,0.9859027399504028,2009-04-01
6.670825243749917e-14,0.654366443154405,0.01,Degenerate,gap,0.9822170414899802,2009-04-02
4.263256414560601e-14,0.5611190397279845,0.01,Degenerate,gap,0.984731665086808,2009-04-03
0.0,0.5983232260338173,0.01,Degenerate,gap,0.9837276005083955,2009-04-06
0.0,0.48853862630625133,0.01,Degenerate,gap,0.9866934121547519,2009-04-07
4.973799150320701e-14,0.49159023756372644,0.01,Degenerate,gap,0.9866108527213303,2009-04-08
7.105427357601002e-15,0.6220045877545805,0.01,Degenerate,gap,0.983089022485897,2009-04-09
2.1316282072803006e-14,0.495592229314185,0.01,Degenerate,gap,0.9865025918082364,2009-04-13
2.1316282072803006e-14,0.48233371459887314,0.01,Degenerate,gap,0.9868613034647434,2009-04-14
5.684341886080802e-14,0.5053057721115609,0.01,Degenerate,gap,0.9862398728037144,2009-04-15
8.149037000748649e-14,0.9057264224291639,0.02,Degenerate,gap,0.9754704994523088,2009-04-16
1.6014967130211916e-14,0.43424872662077,0.01,Degenerate,gap,0.988163346715047,2009-04-17
6.9917710123701155e-15,0.4193770202160484,0.01,Degenerate,gap,0.9885663898552391,2009-04-20
4.336624482361776e-14,0.38794710799180493,0.01,Degenerate,gap,0.9894187234395847,2009-04-21
3.13212536209212e-14,0.4153225827912194,0.01,Degenerate,gap,0.9886762990487644,2009-04-22
2.1316282072803006e-14,0.38358060007103123,0.01,Degenerate,gap,0.989537194919436,2009-04-23
2.1316282072803006e-14,0.9024208483401327,0.02,Degenerate,gap,0.9755589201942471,2009-04-24
4.973799150320701e-14,0.613237558462013,0.02,Degenerate,gap,0.9833253808325584,2009-04-27
7.105427357601002e-15,0.5990243600035589,0.02,Degenerate,gap,0.98370868817445,2009-04-28
